status,occurrence_key,institutionCode,family,species,license,width,height,dorsal_score,raw_path,skeleton_path,url
accepted,2446115881,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7844,museum_butterfly_dorsal/raw_images/nhmuk_2446115881.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446115881_skeleton.png,https://data.nhm.ac.uk/media/cd646718-2bfe-4ad7-9a0d-2059ba5298dd
accepted,2446115824,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7898,museum_butterfly_dorsal/raw_images/nhmuk_2446115824.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446115824_skeleton.png,https://data.nhm.ac.uk/media/7f1ea286-4dd6-4831-9088-e504e261f9c4
accepted,2446091911,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7942,museum_butterfly_dorsal/raw_images/nhmuk_2446091911.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446091911_skeleton.png,https://data.nhm.ac.uk/media/9691fec3-41f7-4db5-a7e3-6f4ca97c6332
accepted,2446091922,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8197,museum_butterfly_dorsal/raw_images/nhmuk_2446091922.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446091922_skeleton.png,https://data.nhm.ac.uk/media/fee4f5d6-669b-401b-b105-3eecff215f4c
accepted,2446091923,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8028,museum_butterfly_dorsal/raw_images/nhmuk_2446091923.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446091923_skeleton.png,https://data.nhm.ac.uk/media/4a131c3a-c0a4-421d-97c8-0b0855b09efb
accepted,2446115945,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8071,museum_butterfly_dorsal/raw_images/nhmuk_2446115945.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446115945_skeleton.png,https://data.nhm.ac.uk/media/517d21b1-8e45-4392-aefe-98854b3594b4
accepted,2446115952,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8053,museum_butterfly_dorsal/raw_images/nhmuk_2446115952.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446115952_skeleton.png,https://data.nhm.ac.uk/media/b522737c-d4f3-4ff6-a013-0d6d0a2b7f39
accepted,2446091934,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8138,museum_butterfly_dorsal/raw_images/nhmuk_2446091934.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446091934_skeleton.png,https://data.nhm.ac.uk/media/f4a55f4c-decb-4b93-931d-70f218c1280a
accepted,2446092942,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7929,museum_butterfly_dorsal/raw_images/nhmuk_2446092942.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446092942_skeleton.png,https://data.nhm.ac.uk/media/40331efd-e1ac-4715-be0d-9d82fba29f04
accepted,2446115924,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7970,museum_butterfly_dorsal/raw_images/nhmuk_2446115924.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446115924_skeleton.png,https://data.nhm.ac.uk/media/376a4745-f3a7-48a5-83b3-887e7da908da
